CVEGEO,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,1.0,,,2.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,4.0,2.0,4.0,1.0,1.0,,5.0,2.0,4.0,5.0,,2.0,6.0,7.0,2.0,4.0,2.0,12.0,10.0,4.0,7.0,7.0,8.0,10.0,9.0,9.0,14.0,11.0,7.0,15.0,13.0,16.0,15.0,31.0,22.0,26.0,20.0,24.0,43.0,23.0,39.0,46.0,39.0,75.0,78.0,86.0,64.0,63.0,86.0,76.0,52.0,139.0,79.0,110.0,71.0,96.0,89.0,92.0,152.0,93.0,73.0,118.0,122.0,110.0,82.0,161.0,103.0,76.0,98.0,84.0,103.0,91.0,109.0,65.0,96.0,58.0,60.0,50.0,32.0,18.0,3.0,3.0,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,4.0,3.0,2.0,1.0,4.0,4.0,3.0,11.0,4.0,6.0,2.0,10.0,9.0,9.0,15.0,7.0,4.0,6.0,14.0,25.0,25.0,19.0,9.0,17.0,23.0,16.0,13.0,12.0,19.0,6.0,9.0,14.0,20.0,19.0,18.0,30.0,18.0,22.0,22.0,31.0,38.0,29.0,40.0,40.0,24.0,32.0,52.0,38.0,37.0,48.0,31.0,36.0,35.0,50.0,39.0,38.0,65.0,62.0,69.0,70.0,87.0,78.0,85.0,116.0,128.0,110.0,109.0,126.0,92.0,119.0,161.0,120.0,187.0,118.0,159.0,148.0,120.0,188.0,142.0,140.0,182.0,144.0,153.0,137.0,326.0,146.0,152.0,167.0,198.0,179.0,143.0,213.0,161.0,227.0,137.0,137.0,98.0,71.0,111.0,31.0,21.0,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,1.0,3.0,3.0,2.0,,3.0,2.0,2.0,4.0,,4.0,3.0,3.0,,1.0,1.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,7.0,6.0,1.0,4.0,6.0,3.0,6.0,7.0,4.0,6.0,3.0,9.0,4.0,1.0,8.0,10.0,8.0,5.0,6.0,8.0,14.0,9.0,11.0,14.0,28.0,19.0,38.0,36.0,25.0,42.0,44.0,45.0,22.0,30.0,46.0,49.0,27.0,33.0,40.0,38.0,36.0,35.0,30.0,35.0,53.0,38.0,19.0,30.0,38.0,41.0,28.0,58.0,44.0,34.0,15.0,38.0,33.0,31.0,32.0,27.0,25.0,32.0,27.0,26.0,23.0,13.0,4.0,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,2.0,3.0,1.0,3.0,4.0,6.0,2.0,3.0,7.0,5.0,8.0,9.0,6.0,10.0,6.0,13.0,6.0,21.0,16.0,18.0,17.0,13.0,19.0,16.0,19.0,14.0,27.0,29.0,15.0,20.0,26.0,32.0,31.0,29.0,29.0,30.0,29.0,41.0,34.0,45.0,24.0,55.0,32.0,27.0,26.0,22.0,44.0,36.0,33.0,32.0,29.0,23.0,34.0,79.0,27.0,33.0,20.0,32.0,22.0,39.0,40.0,36.0,17.0,27.0,39.0,26.0,33.0,31.0,26.0,50.0,47.0,41.0,28.0,32.0,34.0,39.0,52.0,23.0,49.0,41.0,41.0,38.0,39.0,53.0,35.0,30.0,28.0,42.0,47.0,56.0,61.0,44.0,52.0,56.0,41.0,36.0,29.0,14.0,5.0,1.0,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,4.0,2.0,1.0,4.0,2.0,1.0,2.0,3.0,,5.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,,1.0,,2.0,2.0,2.0,1.0,1.0,4.0,7.0,1.0,2.0,1.0,2.0,1.0,10.0,8.0,2.0,3.0,6.0,16.0,11.0,21.0,19.0,8.0,17.0,22.0,16.0,21.0,29.0,28.0,19.0,28.0,29.0,25.0,33.0,22.0,17.0,23.0,34.0,32.0,20.0,28.0,34.0,37.0,47.0,32.0,45.0,55.0,47.0,39.0,30.0,40.0,43.0,57.0,45.0,48.0,77.0,59.0,81.0,59.0,79.0,72.0,72.0,80.0,83.0,48.0,42.0,27.0,21.0,18.0,10.0,3.0,,
25,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,2.0,2.0,3.0,2.0,1.0,4.0,6.0,6.0,7.0,16.0,13.0,9.0,11.0,13.0,10.0,15.0,16.0,24.0,18.0,21.0,27.0,25.0,22.0,29.0,29.0,38.0,37.0,47.0,39.0,42.0,45.0,35.0,35.0,44.0,51.0,49.0,57.0,86.0,40.0,43.0,54.0,69.0,67.0,41.0,52.0,41.0,52.0,67.0,105.0,43.0,72.0,66.0,66.0,55.0,81.0,68.0,71.0,123.0,93.0,94.0,74.0,100.0,180.0,118.0,101.0,128.0,125.0,164.0,132.0,154.0,153.0,150.0,187.0,144.0,140.0,152.0,156.0,154.0,152.0,235.0,130.0,138.0,144.0,185.0,163.0,67.0,84.0,45.0,41.0,14.0,8.0,3.0,1.0,3.0,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,2.0,4.0,1.0,2.0,2.0,,2.0,2.0,3.0,2.0,4.0,5.0,5.0,,1.0,4.0,12.0,2.0,5.0,9.0,6.0,18.0,6.0,11.0,11.0,13.0,7.0,6.0,8.0,10.0,3.0,14.0,15.0,16.0,12.0,22.0,13.0,20.0,22.0,23.0,24.0,22.0,25.0,23.0,27.0,43.0,50.0,42.0,41.0,61.0,46.0,56.0,74.0,61.0,57.0,89.0,83.0,74.0,80.0,82.0,139.0,113.0,108.0,160.0,118.0,138.0,142.0,155.0,164.0,134.0,184.0,159.0,182.0,161.0,162.0,198.0,128.0,216.0,123.0,103.0,91.0,87.0,73.0,67.0,45.0,22.0,6.0,6.0,2.0,1.0,2.0,1.0,1.0,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,2.0,2.0,1.0,3.0,2.0,6.0,8.0,5.0,5.0,4.0,7.0,7.0,11.0,6.0,7.0,16.0,13.0,12.0,10.0,12.0,18.0,13.0,23.0,18.0,30.0,32.0,32.0,40.0,49.0,26.0,42.0,48.0,66.0,47.0,54.0,55.0,62.0,73.0,74.0,60.0,52.0,55.0,71.0,57.0,42.0,53.0,59.0,53.0,85.0,88.0,83.0,79.0,116.0,106.0,84.0,112.0,126.0,103.0,137.0,135.0,94.0,98.0,126.0,164.0,110.0,105.0,134.0,138.0,231.0,137.0,153.0,144.0,136.0,241.0,132.0,124.0,156.0,193.0,164.0,119.0,350.0,134.0,155.0,165.0,277.0,225.0,165.0,203.0,134.0,149.0,94.0,93.0,43.0,13.0,13.0,3.0,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,3.0,,,,3.0,2.0,2.0,1.0,1.0,6.0,4.0,3.0,2.0,1.0,11.0,6.0,9.0,5.0,4.0,9.0,6.0,4.0,10.0,7.0,8.0,12.0,16.0,13.0,30.0,23.0,18.0,25.0,30.0,23.0,11.0,34.0,26.0,24.0,30.0,26.0,47.0,36.0,49.0,31.0,29.0,24.0,50.0,25.0,23.0,34.0,45.0,29.0,34.0,21.0,30.0,33.0,44.0,46.0,35.0,57.0,81.0,53.0,51.0,85.0,55.0,89.0,65.0,74.0,67.0,56.0,105.0,78.0,94.0,82.0,70.0,84.0,68.0,141.0,94.0,69.0,83.0,102.0,96.0,78.0,141.0,120.0,104.0,80.0,148.0,60.0,47.0,36.0,14.0,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,2.0,2.0,,1.0,9.0,2.0,4.0,3.0,5.0,5.0,4.0,8.0,1.0,2.0,6.0,9.0,2.0,12.0,1.0,2.0,7.0,12.0,9.0,10.0,7.0,9.0,9.0,22.0,20.0,8.0,10.0,17.0,11.0,18.0,20.0,7.0,15.0,24.0,18.0,16.0,21.0,25.0,17.0,40.0,35.0,33.0,24.0,41.0,38.0,29.0,24.0,39.0,35.0,32.0,39.0,48.0,49.0,57.0,31.0,50.0,36.0,30.0,52.0,29.0,39.0,44.0,50.0,33.0,49.0,78.0,44.0,65.0,34.0,37.0,49.0,43.0,34.0,27.0,43.0,17.0,15.0,14.0,5.0,5.0,3.0,2.0,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,3.0,2.0,2.0,2.0,4.0,2.0,7.0,2.0,1.0,5.0,,4.0,4.0,5.0,3.0,4.0,6.0,5.0,8.0,12.0,6.0,5.0,9.0,12.0,13.0,22.0,17.0,19.0,21.0,26.0,31.0,21.0,35.0,32.0,30.0,41.0,26.0,74.0,44.0,43.0,46.0,73.0,68.0,50.0,92.0,79.0,74.0,101.0,118.0,101.0,94.0,95.0,123.0,114.0,105.0,135.0,136.0,135.0,146.0,136.0,154.0,126.0,181.0,140.0,139.0,186.0,145.0,183.0,132.0,198.0,183.0,154.0,230.0,158.0,142.0,152.0,144.0,191.0,154.0,220.0,154.0,168.0,160.0,187.0,170.0,132.0,172.0,140.0,129.0,75.0,75.0,53.0,20.0,7.0,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,3.0,3.0,1.0,5.0,3.0,1.0,2.0,7.0,5.0,9.0,3.0,4.0,5.0,3.0,3.0,1.0,3.0,4.0,6.0,7.0,6.0,5.0,8.0,8.0,11.0,7.0,5.0,11.0,12.0,12.0,3.0,9.0,18.0,20.0,16.0,9.0,13.0,17.0,19.0,22.0,27.0,29.0,32.0,14.0,31.0,38.0,34.0,39.0,52.0,32.0,20.0,44.0,40.0,38.0,23.0,41.0,34.0,35.0,41.0,47.0,40.0,57.0,51.0,42.0,43.0,40.0,62.0,53.0,46.0,60.0,33.0,63.0,53.0,58.0,46.0,67.0,54.0,46.0,33.0,41.0,51.0,40.0,30.0,63.0,45.0,41.0,52.0,45.0,59.0,51.0,80.0,70.0,88.0,54.0,57.0,54.0,41.0,34.0,33.0,3.0,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,3.0,,2.0,1.0,,,,,,,,,2.0,,2.0,2.0,,,1.0,1.0,6.0,1.0,5.0,4.0,2.0,2.0,3.0,1.0,7.0,2.0,5.0,6.0,5.0,2.0,4.0,3.0,3.0,2.0,5.0,17.0,7.0,7.0,4.0,5.0,7.0,1.0,8.0,10.0,8.0,6.0,6.0,3.0,11.0,3.0,10.0,4.0,11.0,5.0,3.0,6.0,12.0,9.0,9.0,3.0,17.0,5.0,6.0,15.0,5.0,12.0,8.0,6.0,10.0,17.0,22.0,15.0,15.0,20.0,18.0,19.0,28.0,15.0,26.0,26.0,12.0,11.0,20.0,20.0,11.0,,1.0,
01001,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,2.0,2.0,4.0,2.0,2.0,,5.0,7.0,5.0,4.0,3.0,4.0,1.0,2.0,3.0,1.0,,2.0,1.0,,2.0,4.0,1.0,2.0,3.0,4.0,6.0,4.0,5.0,9.0,9.0,8.0,10.0,14.0,6.0,15.0,4.0,5.0,11.0,12.0,10.0,11.0,25.0,10.0,13.0,15.0,9.0,18.0,6.0,20.0,22.0,8.0,15.0,6.0,7.0,15.0,23.0,9.0,13.0,18.0,16.0,13.0,12.0,21.0,13.0,23.0,15.0,20.0,15.0,27.0,34.0,38.0,27.0,35.0,31.0,34.0,33.0,58.0,39.0,30.0,27.0,42.0,48.0,40.0,50.0,35.0,38.0,21.0,28.0,21.0,23.0,9.0,4.0,,
01002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,2.0,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,4.0,,,,1.0,,,,,
01003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,5.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,,,,,
01004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,1.0,,1.0,,,,,,,6.0,1.0,,,2.0,,1.0,1.0,,,,1.0,,,4.0,2.0,,2.0,1.0,1.0,2.0,,,1.0,,5.0,,,
01005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,2.0,1.0,,,,,1.0,,1.0,3.0,,,,,,,2.0,,,2.0,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,2.0,1.0,1.0,1.0,,,2.0,1.0,2.0,,,1.0,,4.0,1.0,1.0,,3.0,1.0,1.0,,2.0,3.0,2.0,,1.0,,,,,
01006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,3.0,,1.0,1.0,,,,,,,,,1.0,3.0,1.0,2.0,1.0,,1.0,,2.0,4.0,3.0,2.0,1.0,2.0,1.0,,1.0,2.0,,,5.0,6.0,3.0,,1.0,3.0,1.0,,,4.0,1.0,,,1.0,,1.0,,
01007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,,2.0,,,2.0,3.0,,,,1.0,,4.0,1.0,1.0,2.0,,2.0,1.0,2.0,,4.0,3.0,2.0,1.0,3.0,,2.0,4.0,,4.0,,1.0,3.0,6.0,2.0,1.0,1.0,6.0,3.0,,2.0,1.0,3.0,4.0,,1.0,3.0,1.0,,,
01008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,3.0,1.0,1.0,,,,1.0,2.0,,,
01009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,1.0,,,5.0,3.0,4.0,,1.0,1.0,2.0,1.0,,,3.0,3.0,2.0,7.0,,,,1.0,,5.0,1.0,1.0,1.0,,,1.0,,,,
01010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
01011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,2.0,,,1.0,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,3.0,1.0,,,,,,
01999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,2.0,1.0,2.0,,1.0,1.0,1.0,,1.0,,1.0,3.0,3.0,2.0,6.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,9.0,8.0,4.0,6.0,2.0,10.0,6.0,6.0,6.0,3.0,13.0,9.0,5.0,5.0,2.0,4.0,3.0,13.0,5.0,5.0,6.0,10.0,7.0,8.0,10.0,8.0,7.0,12.0,9.0,10.0,12.0,8.0,15.0,12.0,14.0,11.0,19.0,19.0,20.0,9.0,12.0,10.0,20.0,9.0,14.0,14.0,20.0,13.0,19.0,18.0,18.0,9.0,7.0,8.0,5.0,2.0,1.0,,
02002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,2.0,4.0,3.0,4.0,8.0,2.0,1.0,4.0,6.0,5.0,5.0,7.0,10.0,11.0,16.0,12.0,16.0,18.0,17.0,16.0,12.0,20.0,22.0,24.0,22.0,55.0,39.0,37.0,27.0,30.0,30.0,29.0,27.0,25.0,39.0,32.0,26.0,34.0,35.0,24.0,40.0,37.0,34.0,28.0,24.0,53.0,73.0,62.0,56.0,56.0,65.0,68.0,65.0,73.0,55.0,82.0,73.0,75.0,82.0,65.0,118.0,75.0,73.0,100.0,95.0,96.0,56.0,99.0,64.0,72.0,94.0,70.0,70.0,70.0,67.0,60.0,84.0,100.0,55.0,74.0,58.0,85.0,65.0,70.0,59.0,76.0,58.0,39.0,35.0,36.0,21.0,14.0,,2.0,
02003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,4.0,2.0,4.0,3.0,3.0,1.0,2.0,7.0,5.0,4.0,5.0,5.0,2.0,5.0,,2.0,5.0,2.0,11.0,10.0,11.0,2.0,3.0,4.0,5.0,2.0,3.0,3.0,5.0,1.0,2.0,2.0,,3.0,2.0,,1.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,,1.0,,4.0,2.0,3.0,2.0,6.0,1.0,2.0,1.0,,2.0,,1.0,,,,,,1.0,,,
02004,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,3.0,2.0,1.0,1.0,8.0,5.0,7.0,4.0,5.0,13.0,14.0,12.0,19.0,20.0,15.0,25.0,22.0,17.0,32.0,45.0,26.0,30.0,30.0,33.0,26.0,47.0,56.0,50.0,33.0,44.0,37.0,51.0,42.0,35.0,57.0,49.0,44.0,75.0,40.0,55.0,27.0,38.0,47.0,45.0,45.0,48.0,36.0,38.0,60.0,46.0,32.0,44.0,25.0,32.0,34.0,52.0,31.0,52.0,32.0,32.0,27.0,31.0,41.0,23.0,36.0,34.0,24.0,37.0,25.0,21.0,19.0,28.0,18.0,20.0,17.0,20.0,11.0,17.0,22.0,23.0,13.0,11.0,18.0,9.0,7.0,18.0,10.0,6.0,6.0,11.0,4.0,2.0,3.0,,,,
02005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,2.0,1.0,,1.0,1.0,2.0,1.0,,,2.0,1.0,,1.0,1.0,1.0,,,1.0,,2.0,,3.0,,4.0,4.0,2.0,2.0,3.0,1.0,1.0,,1.0,1.0,2.0,3.0,1.0,2.0,,1.0,2.0,4.0,1.0,1.0,,,1.0,,1.0,2.0,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
02999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
03001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,2.0,2.0,1.0,,2.0,2.0,4.0,3.0,3.0,2.0,3.0,,8.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,6.0,2.0,3.0,2.0,3.0,3.0,5.0,,3.0,4.0,5.0,3.0,1.0,5.0,3.0,2.0,2.0,,,,,
03002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,1.0,1.0,5.0,,4.0,2.0,,6.0,,5.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,6.0,3.0,1.0,2.0,1.0,2.0,2.0,9.0,3.0,4.0,4.0,8.0,9.0,6.0,5.0,12.0,10.0,5.0,6.0,6.0,4.0,2.0,3.0,,1.0,,,
03003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,4.0,3.0,4.0,5.0,8.0,8.0,7.0,1.0,1.0,2.0,7.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,5.0,2.0,7.0,,6.0,3.0,5.0,6.0,1.0,3.0,1.0,4.0,9.0,7.0,6.0,6.0,3.0,7.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,8.0,4.0,5.0,3.0,7.0,3.0,4.0,7.0,2.0,1.0,9.0,6.0,4.0,6.0,3.0,4.0,7.0,6.0,1.0,5.0,4.0,9.0,11.0,6.0,11.0,9.0,16.0,13.0,9.0,6.0,3.0,4.0,6.0,1.0,,1.0,
03008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,1.0,1.0,,1.0,4.0,3.0,3.0,,3.0,5.0,7.0,7.0,3.0,9.0,8.0,15.0,12.0,17.0,12.0,11.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,4.0,3.0,2.0,,4.0,4.0,3.0,5.0,,6.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,1.0,8.0,,,1.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,9.0,5.0,8.0,8.0,3.0,2.0,4.0,3.0,11.0,8.0,3.0,9.0,4.0,2.0,9.0,14.0,9.0,8.0,2.0,4.0,4.0,3.0,3.0,,,
03009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,5.0,13.0,3.0,1.0,,5.0,3.0,3.0,3.0,,3.0,,1.0,,1.0,,,
03999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,2.0,3.0,,1.0,1.0,,,1.0,,,,1.0,1.0,,,3.0,2.0,1.0,,1.0,,,,,1.0,,,,
